# format of this file:
# generation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector]
2	<1.38086,0,2.15062,9.45652,6.51299,58.5599,1.46237,23.1556,4.79431,86.0089,7.23114,19.5675,5.95598,38.9751,6.1545,20.9699>	0	<>	<7,256.693,-86.0089>
2	<3.32167,83.0594,5.91379,4.42302,5.54867,12.0739,1.81536,78.5443,5.15165,48.3104,2.64102,7.25674,4.24281,6.87067,5.2811,25.2662>	0	<>	<6,265.805,-83.0594>
2	<4.37975,18.198,3.8987,27.552,2.23628,5.81519,1.40281,23.3692,7.98874,23.4274,1.54721,81.2593,7.15356,10.2598,1.97526,97.9533>	0	<>	<8,287.834,-97.9533>
2	<4.78909,0,1,7.63621,2.86445,11.7018,5.5983,69.4577,2.70116,96.5195,6.12403,9.55052,2.94484,16.515,7.06929,79.4126>	0	<>	<7,290.793,-96.5195>
2	<4.32881,22.2847,4.08397,85.0624,2.17891,49.8655,4.69651,58.5657,5.36246,23.5122,1.26483,0,3.96234,59.9398,5.63239,7.67217>	0	<>	<6,306.902,-85.0624>
2	<3.32167,83.0594,5.91379,4.42302,5.54867,12.0739,1.81536,78.5443,5.15165,92.9911,2.64102,7.25674,4.24281,6.87067,5.2811,25.2662>	0	<>	<6,310.485,-92.9911>
2	<5.10933,5.24203,4.75298,70.3114,3.83115,0,4.37586,96.7404,1.68922,65.8382,3.86301,12.3834,1.15226,4.79219,6.38053,61.2328>	0	<>	<6,316.54,-96.7404>
2	<3.17951,59.9822,5.76168,6.8053,5.99136,11.7347,1.61447,58.2251,3.11659,47.1672,1.46526,2.96001,1.24455,64.8517,4.36714,10.9387>	0	<>	<6,262.665,-64.8517>
2	<7.70322,22.9417,5.56235,73.2154,1.96042,0,4.11107,0.332072,2.34682,0,1.76652,74.2275,4.43882,84.0089,5.63621,7.94408>	0	<>	<8,262.67,-84.0089>
2	<5.33607,22.7207,6.47649,81.1039,7.46842,6.19643,1,0,2.66421,77.5791,4.68194,25.0341,2.21072,26,2.32843,30.3273>	0	<>	<7,268.962,-81.1039>
2	<1,10.8059,6.38194,95.244,1,1.19715,4.56481,40.3318,6.98112,31.6418,1.37509,74.1182,3.19347,0.712225,6.03942,38.5289>	0	<>	<7,292.58,-95.244>
2	<4.5877,7.45827,2.32126,55.8653,2.30353,0.0834328,7.92736,53.346,5.03477,52.0682,2.91995,64.5376,7.00338,25.3582,3.96285,0>	0	<>	<8,258.717,-64.5376>
2	<6.33949,25.7732,2.69151,47.5837,3.62556,94.5569,1.40661,67.7449,3.92068,12.4553,5.94934,45.2177,6.41149,18.8069,4.93095,37.6995>	0	<>	<6,349.838,-94.5569>
2	<5.1928,53.3311,1.0793,70.0509,5.77054,17.2639,4.04693,75.365,6.4812,91.2318,3.21938,0,1.36172,95.99,2.27962,45.1241>	0	<>	<6,448.357,-95.99>
2	<1.62606,99.0095,2.75174,1.54508,2.52463,81.9216,3.93138,7.22493,1.94944,47.2353,4.78726,44.8987,4.35633,53.3348,6.83993,53.9018>	0	<>	<7,389.072,-99.0095>
2	<5.11726,67.7453,6.73933,16.4292,3.14987,8.02782,3.38591,97.5777,1.02643,55.2968,6.92463,14.5085,1.33505,68.1706,1.95783,27.2408>	0	<>	<7,354.997,-97.5777>
2	<1,7.45827,1.27968,58.5032,5.10599,69.6853,2.95726,43.4623,5.63434,1.16132,4.7109,93.9883,2.23735,39.717,6.13806,93.9434>	0	<>	<6,407.919,-93.9883>
2	<7.30765,99.0158,3.82475,9.60273,7.87498,98.2933,3.69225,65.2568,6.57183,86.0069,4.74655,82.255,2.50235,69.7185,1.3771,84.0981>	0	<>	<8,594.247,-99.0158>
2	<7.30765,0,3.82475,9.60273,7.87498,98.2933,3.69225,65.2568,6.57183,86.0069,4.74655,82.255,2.50235,69.7185,1.3771,84.0981>	0	<>	<8,495.231,-98.2933>
2	<4.36493,97.7958,1.12797,70.5671,1.71077,14.8194,2.12918,73.4767,1.50501,27.0815,7.67939,28.8849,7.05759,13.9357,5.49992,62.8446>	0	<>	<8,389.406,-97.7958>
2	<1.4168,25.6056,1.61882,46.3992,7.11797,57.0669,4.01977,97.2455,2.60336,33.9572,1.67403,25.0803,1.55913,86.4937,7.04191,35.7517>	0	<>	<7,407.6,-97.2455>
