# format of this file:
# evaluation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector] 	 evaluator_rank 	 evaluation_time 	 life_time 
48	<6.5258258425285227133372246,92.267861260225927821920777,1.0210670246840767294571606,66.339978792862950740527594,4.4534324558700584262282973,43.440522413440291416009131,5.4509865666977068698884068,72.239859249554513098701136,2.9236113722080414589754582,73.214498242928883087188296,7.8124085328599477406896767,16.311990151327098175215724,5.1795770089046921924591516,83.633165286683095018815948,4.6444585289081832257807037,68.651953883772691256126564>	0	<>	<8,516.10000000000002273736754,-92.267899999999997362465365>	0	0.10277899999999999536282047	0
49	<6.7849841694277639447818729,83.059388530933944139178493,5.9137922273547349760747238,4.4230180347445502420100638,5.5486659689567359166062488,12.073946097900135399072497,1.8153560975638014518551699,78.544331844218234550680791,5.1516461671104867292569907,92.991050515785374841470912,2.6410151099045831024625386,7.2567411266531518521105681,4.2428072342848439646445513,6.8706714580164627292901969,5.2810957293403779644336282,25.266186765053397778046929>	0	<>	<7,310.48532999999997628037818,-92.991100000000002978595148>	0	0.10167799999999999061017775	0
50	<1,1.5,2,1.5,3,1.5,1,13.962489987938891289331877,1.7953566947464629777186929,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,24.462499999999998578914528,-13.962500000000000355271368>	0	0.10843300000000000160582658	0
51	<1,1.5,4.4474483560526039127580589,0,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<4,10.5,-1.5>	0	0.099754999999999996451727213	0
52	<7.177944589023452337528397,96.677438540699625946217566,2.403578178213712668309654,44.829173779501196861474455,5.3777631732531654407125643,16.892321043132021429755696,4.0685998332074841954408839,69.515704395955296490683395,7.087854610331288718327869,79.800779642444467754103243,4.5173310905310000151757777,63.396897243055001069933496,3.937355079193299189910249,0,1,17.994287152771970994535877>	0	<>	<7,389.10660000000001446096576,-96.677400000000005775291356>	0	0.097419999999999992712496066	0
53	<4.5877028431686124321231546,45.564695655165564858180005,2.3212578381976385344387381,55.86527015821322095234791,2.3035273436939007751789177,0.083432765716422704893595608,7.9273550440219020529752925,53.346010927737694373718114,5.0347674945531259993458661,52.06818122047380370531755,2.919953481722601384973359,64.537586115550993781653233,7.0033751800672039422579473,25.358193845189266113493431,3.9628512193275855501894966,0>	0	<>	<8,296.82343279999997776030796,-64.537599999999997635313775>	0	0.096887000000000000898836561	0
54	<2.5424942637525935751341422,62.377562822018546739855083,2.3193619303961110489353814,84.575106242939412481973704,6.5488918738201684632826982,62.685168098046055717986746,4.7863567414630008300946429,66.239235441311834051703045,3.9740163385747075963649877,27.859656814653266820869248,3.0745292846460499092131613,84.448163110971520950442937,6.6994069482662750303347821,64.480602585003055082779611,1.170971515202415824674631,32.672996973932256992156908>	0	<>	<7,485.3385999999999853571353,-84.575100000000006161826605>	0	0.097188999999999997614352765	0
55	<1.7031708735521746689300926,21.317562237995474561103038,7.1976787025098127870137432,28.667117435795773872087011,2.4980696502598327413124935,87.50048204674408225400839,6.7409189854473430258963162,79.040530640185124866547994,3.7698064254456231658707566,42.554281658052595105345972,3.3293772339026337370171404,22.090038281208855153181503,1.044364134336059901642102,25.468635068260432774422952,7.9545013746034829438258384,56.834861383230823150825017>	0	<>	<8,363.47350000000000136424205,-87.500500000000002387423592>	0	0.09940000000000000224265051	0
56	<4.3797487865107829208000112,18.198047167713774285857653,3.898697730572287856176672,27.552009386733178786244025,2.2362819967029068379815726,5.8151902520634175530744869,1.4028057786183458777173882,23.369162913118099567100217,7.9887423007696600762983508,23.427377419279597603463117,1.5472128184266447092909402,81.259274986227637782576494,7.1535586002997861854169059,10.259776241266996166245917,1.9752590339515632145150903,97.953278244451283285343379>	0	<>	<8,287.83418999999997822669684,-97.95329999999999870397005>	0	0.086866999999999999770849968	0
57	<3.21041369354837291538729,2.4705390457392386593937772,1.2112800538126753391310331,15.656630385740021083051943,7.2979714764738323751203097,8.6335239506482732707581818,3.2413204886211643973581431,29.539684313135076365597342,2.2652191404556942799786157,75.596980832329478516840027,4.8409595074322817609413505,52.873788193275125024683803,5.3051080472325473635919479,54.220869696801933912411187,1.6796054670957873966585794,9.7836690534761494575377583>	0	<>	<7,248.77573000000001002263161,-75.596999999999994201971276>	0	0.09587099999999999788702354	0
58	<6.0693241805160997870416395,0,1,53.302132130275545307540597,4.2633576664437349279523914,31.126923268254344634442532,6.3669906530375550701705833,46.458570913625216292075493,4.8188010481273764185061736,84.488621067483265392183966,2.9402492097300707563078959,42.462280691816602029575733,7.6323878116125181136908395,41.650117813446613013184106,3.8290891222791230141808683,26.325735741446603555004913>	0	<>	<8,325.81430000000000291038305,-84.488600000000005252331903>	0	0.097951999999999997403854479	0
59	<4.0884459801430095282626098,67.035954523382685010801652,2.1928704461049615126455592,33.253051994253439715976128,1.9198911329358308019976675,11.322933301014328932865283,5.454195358536297000284776,93.744037623398028813426208,7.0843939925936956214513884,18.502212324413569888292841,4.2632478039074914732964316,48.421457665237348066966661,6.0906157414850854436849659,56.326475300046837446643622,5.0743588703099442582811207,45.141998839165083268198941>	0	<>	<7,373.74819999999999708961695,-93.743999999999999772626325>	0	0.085433999999999996055599638	0
60	<1.5211564654117246675468778,95.540805205488950946346449,7.8910891678608434673947158,54.064487597935126927950478,2.8667409899024018926638746,75.115426012834262792239315,1.0366140925495950231294273,81.222029114711105535207025,5.1722832923625983170268228,28.240904364847068563904031,2.6579016831973110157605333,0,1,3.5399811919964765394297501,2.170558779347016908900514,14.011678990913406295248933>	0	<>	<8,351.73527999999998883140506,-95.540800000000004388311936>	0	0.10012500000000001953992523	0
61	<3.1795076188535928984890688,59.982249215236983275190141,4.3672349859807804151046184,6.8053015539447319071086895,5.9913627793972210611173068,11.734719160820691996605092,1.6144693648044343703418235,58.22509669616124483582098,3.1165852039663981543071714,47.167164900883641109885502,1.4652588020382721900602974,2.9600134598836365107388247,1.244554810805504674320332,64.851681080112086874578381,4.3671408641930398175645678,10.938732517388990217455103>	0	<>	<6,262.66491000000002031811164,-64.851699999999993906385498>	0	0.099136999999999989019450197	0
62	<5.2274740367324437073648369,46.546143268489345246052835,5.550225408072688715321874,5.596509168900787756228965,2.6002709558700543013287643,0,5.7797570614049940118661652,81.265616268508892972022295,7.5637028094212075401969742,91.966553540884774520236533,3.4932642362514809697415785,63.658205123459083552006632,4.9246495500787386134788903,16.29624050869431428623102,6.4368918880060741471993424,87.202245317028015847427014>	0	<>	<8,392.53140999999999394276529,-91.966599999999999681676854>	0	0.10057599999999999873523393	0
63	<6.3394942839348198404536561,37.511267796164034393768816,7.5805282809680925026896148,47.583672286748736723893671,3.6255572152443029665391805,94.556886048315504922356922,1.4066138255440694404541091,67.744891749576154893475177,3.9206835631843115486105944,12.455323251176309895527083,5.9493433646621847188384891,45.21769110356350296342498,6.4114903031901873120546043,18.80691750850850496590283,4.930949653466674575952311,37.699490523757177129482443>	0	<>	<8,361.5761999999999716237653,-94.556899999999998840394255>	0	0.1199299999999999949418239	0
64	<5.5747142576494788102081657,21.159643736276610326285663,2.733179360038218597139803,87.014630058321458250247815,7.0680145654212749306566366,93.041948924326320025102177,5.7796172428781247276674549,2.2062873340706730118654377,6.9505951693051475359652613,3.8983067981425238990311755,4.0877917269653600840229046,41.074924516060818291407486,2.4136183147382075375730892,21.781194453025793933420573,2.9794018850565899825255656,96.473037123900382994179381>	0	<>	<7,366.64980000000002746673999,-96.472999999999998976818461>	0	0.079091999999999995640820316	0
65	<4.3288104856986606705504528,22.284716657495458491666795,4.0839696554858093691109389,85.062395774322752117768687,2.1789121861471385521724642,49.865478300426843816239852,4.6965101234132937690901599,58.565653561877859090145648,5.3624561086122204400794544,23.51219264022642363443083,1.2648341233212661016693801,0,3.962337713671074013177531,59.939768286393849905380193,6.4129107484654106485777447,7.6721709722989102075985102>	0	<>	<6,306.9024699999999938881956,-85.062399999999996680344339>	0	0.12033899999999998764455	0
66	<6.6769588415869316477824214,2.0870015500518501738724808,7.6280760721434264226559208,67.785334339265403968965984,7.6590265332064717540561105,62.967047310884595390234608,4.3766907720718020158301442,80.137452846456994848267641,5.6805747908915273924890244,92.349749986245186050837219,2.4848664121166184060029991,0,1,0,6.847305701043133296934684,61.685379949251831988021877>	0	<>	<8,367.01190000000002555680112,-92.349699999999998567545845>	0	0.09431699999999999806110651	0
67	<6.0241984664575189967195001,27.589647903847343002325943,4.2723442973905916275612071,88.615866465780825933507003,6.4218588342991935746795207,99.555063154341212339204503,1,20.284820187620269393846684,2.6147079023601058622716664,50.964864646533904135594639,6.5582613514541936439172787,65.386365943302564573968993,1.7633243020453137628322793,56.731029998851489892786049,6.1140975840921036876807193,92.004044909032089094580442>	0	<>	<7,501.13170000000002346496331,-99.55509999999999593001121>	0	0.11798499999999999265920536	0
68	<5.1172622084232335382125711,67.745337946221852121198026,5.1852565441211950769684336,53.946981976715370876718225,3.1498669647378227942624562,8.0278187561909764013989843,3.3859104343624366606491094,97.577739366133570797501307,1.0264298087109018364770918,55.296812092557928508540499,6.9246348579994565497486292,14.508513088574872540448268,1.3350451436522625670022535,68.170579368328020564149483,1.9578281487141868666412847,27.24076961061952673048836>	0	<>	<7,392.51452000000000452928361,-97.577699999999992996890796>	0	0.10077399999999998858601913	0
69	<7.7032159090522753785990062,22.9416686682690240672855,5.562354259454810545548753,73.215353429883421654267295,1.9604195852113979192665738,0,4.1110700546349718820238195,0.33207222392413271450095635,2.3468173182787452901720826,0,1.7665247427143737635191201,74.227506934771085411739477,4.43882312785779298280886,84.008890429515801656634721,5.6362086258065930977068092,7.9440761860199629040835134>	0	<>	<8,262.66965199999998503699317,-84.008899999999997021404852>	0	0.099714999999999998081534613	0
70	<4.6227959830420068954026647,26.020930952402263613976174,5.3323740713914737909817632,82.466613539711858038572245,3.3834124796015268010762611,95.975492939341577880441037,6.6031047034091807645950212,34.426318404463266631410079,4.5890613522329655182829811,64.681993687842975759849651,4.565235109564492077538489,56.058664226931831819911167,3.2996801139319686946294041,25.128724530864843700328493,3.2833501059950096490069882,28.61280028178021339613224>	0	<>	<7,413.371500000000025920599,-95.975499999999996703081706>	0	0.10243000000000002103206498	0
71	<3.1830766534819625590557735,0,1,13.817507347239885717726793,1.7107650203214794792927478,14.819434850858261398798277,2.1291778782052817042824699,73.476660053002021300017077,1.5050114674982668638847372,27.081466013137934112364746,4.3392916858844881033974161,56.340494265938410478611331,1.7763249477261329190014294,13.935718691877889696684178,5.4999199316370859236258184,0>	0	<>	<5,199.47130000000001359694579,-73.476699999999993906385498>	0	0.098734000000000002317257497	0
72	<3.7969654750996109093819086,26.175628614693707163496583,4.1717838785479699481584248,74.00539935287339687874919,5.2552971617576194063303774,25.355551124250307992724629,1.5902202397539375589019528,73.42342653936866270214523,7.302628136846529116610327,57.366549250374802682017616,3.0637463536410343145632851,22.890117821698133582231094,6.7746691646867756020355955,62.101377994800628812299692,4.6052042705031137614923864,30.565666933807388971899854>	0	<>	<7,371.88369999999997617123881,-74.005399999999994520294422>	0	0.10281799999999999273292417	0
73	<5.1928008218262347028826298,53.331071861708103654109436,1.0792954336289761751999094,70.050940648676331079514057,5.7705354698796460510834549,17.263904454775108376907156,4.0469320458578561527929196,75.364956248255893456189369,4.1041759360135419143489344,91.231767642885344571368478,3.2193815327339718734833696,0,1.3617240401737968902295961,95.990020966152670212068188,2.2796218145078146477544578,45.124135979043380473285652>	0	<>	<6,448.35680000000002110027708,-95.989999999999994884092303>	0	0.083240999999999995551114296	0
74	<2.5515954673996175117167695,2.25,2.3390674699745455100696745,44.316771041749404957954539,7.2262942717533062975121538,27.561253042687315684133864,2.2418138306782644519898895,78.984605790574391903646756,6.9449461605143483211577404,47.222288347418555076728808,1.131230652859076313276887,67.423076027735632465009985,1.652656640695713718969273,53.377641762316990536874073,7.8592120073080122821806981,69.220820893170696308516199>	0	<>	<8,390.35649999999998271960067,-78.984600000000000363797881>	0	0.098268999999999995242916384	0
